Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2023,Mercedes-Benz,EQB 350 4MATIC,2,336,3.4,468,"$60,994 "
2019,Mercedes-Benz,AMG GLC 63  4MATIC,16,980,4.5,"2,057","$53,922 "
2024,Mercedes-Benz,GLE 350  4MATIC,8,213,4.3,352,"$67,585 "
2022,Mercedes-Benz,AMG C 43  4MATIC,7,135,4.6,716,"$56,940 "
2021,Mercedes-Benz,GLS 580  4MATIC,53,509,4.6,417,"$62,704 "
2023,Mercedes-Benz,AMG G 63 4MATIC,6,61,4.9,274,"$209,995 "
2018,Mercedes-Benz,SL 450 ,18,458,4.3,443,"$55,000 "
2015,Mercedes-Benz,S-Class S 550 4MATIC,69,897,4.7,"1,371","$41,690 "
2023,Mercedes-Benz,GLB 250 ,5,192,4.9,"2,166","$44,744 "
2020,Mercedes-Benz,SL 450 ,8,120,4.6,981,"$65,999 "
2019,Mercedes-Benz,AMG GLE 43  4MATIC,48,608,4.8,899,"$49,983 "
2023,Mercedes-Benz,AMG GLE 53 ,14,967,4.7,"1,371","$87,390 "
2020,Mercedes-Benz,Maybach S 650 ,35,788,4.6,585,"$111,326 "
2016,Mercedes-Benz,AMG S AMG S 63 4MATIC,19,821,4.8,"1,291","$68,500 "
2023,Mercedes-Benz,GLE 450 4MATIC,18,901,4,15,"$67,515 "
2022,Mercedes-Benz,A-Class A 220 4MATIC,10,605,4.6,696,"$33,999 "
2020,Mercedes-Benz,A-Class A 220 4MATIC,11,770,4.8,"1,354","$31,293 "
2023,Mercedes-Benz,GLE 450 GLE 450,16,147,4.8,899,"$69,997 "
2022,Mercedes-Benz,AMG GT 53 ,6,149,4.7,"1,239","$99,999 "
2024,Mercedes-Benz,GLE 450 Plug-In Hybrid  4MATIC,4,354,3.9,"1,800","$78,900 "
2021,Mercedes-Benz,AMG GLB 35 ,53,699,4.6,266,"$36,880 "
2023,Mercedes-Benz,GLB 250 ,6,419,4.7,110,"$42,499 "
2016,Mercedes-Benz,GLC-Class GLC 300,47,533,4.6,"1,018","$20,999 "
2023,Mercedes-Benz,Sprinter 2500 Standard Roof,15,492,4.8,752,"$74,988 "
2020,Mercedes-Benz,CLA 250 ,48,928,4,1,"$28,000 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,45,105,4.7,316,"$26,540 "
2021,Mercedes-Benz,AMG GLS 63  4MATIC,32,1,4.8,"2,468","$94,984 "
2023,Mercedes-Benz,AMG E 53  4MATIC,1,847,4.7,"2,879","$86,975 "
